chr	anotation	type	start	end	score	strand	frame	gene	attribute
1	Araport11	gene	168559	171386	.	+	.	AT1G01460	protein_coding
1	Araport11	gene	171525	172948	.	-	.	AT1G01470	protein_coding
1	Araport11	gene	175706	178406	.	+	.	AT1G01480	protein_coding
1	Araport11	gene	180017	182749	.	-	.	AT1G01490	protein_coding
1	Araport11	gene	185033	187135	.	+	.	AT1G01500	protein_coding
1	Araport11	gene	187145	190472	.	+	.	AT1G01510	protein_coding
1	Araport11	gene	190408	192436	.	+	.	AT1G01520	protein_coding
1	Araport11	gene	192634	193670	.	-	.	AT1G01530	protein_coding
1	Araport11	gene	195645	198787	.	+	.	AT1G01540	protein_coding
1	Araport11	gene	199527	201775	.	+	.	AT1G01550	protein_coding
1	Araport11	gene	202103	204440	.	+	.	AT1G01560	protein_coding
1	Araport11	gene	204935	207642	.	+	.	AT1G01570	protein_coding
1	Araport11	gene	208995	213082	.	+	.	AT1G01580	protein_coding
1	Araport11	gene	214150	217734	.	+	.	AT1G01590	protein_coding
1	Araport11	gene	218834	221286	.	+	.	AT1G01600	protein_coding
1	Araport11	gene	221642	224351	.	-	.	AT1G01610	protein_coding
1	Araport11	gene	225665	227543	.	-	.	AT1G01620	protein_coding
1	Araport11	gene	228799	230979	.	+	.	AT1G01630	protein_coding
1	Araport11	gene	230908	232630	.	-	.	AT1G01640	protein_coding
1	Araport11	gene	232840	237905	.	-	.	AT1G01650	protein_coding
1	Araport11	gene	239841	242703	.	-	.	AT1G01660	protein_coding
1	Araport11	gene	242713	246054	.	-	.	AT1G01670	protein_coding
1	Araport11	gene	246262	248440	.	-	.	AT1G01680	protein_coding
1	Araport11	gene	249041	252522	.	+	.	AT1G01690	protein_coding
1	Araport11	gene	252626	254530	.	+	.	AT1G01695	protein_coding
1	Araport11	gene	259307	261667	.	-	.	AT1G01700	protein_coding
1	Araport11	gene	262828	266324	.	+	.	AT1G01710	protein_coding
1	Araport11	gene	266333	267883	.	+	.	AT1G01715	protein_coding
1	Araport11	gene	267993	269819	.	+	.	AT1G01720	protein_coding
1	Araport11	gene	269792	270859	.	-	.	AT1G01725	protein_coding
1	Araport11	gene	270797	272189	.	+	.	AT1G01730	protein_coding
1	Araport11	gene	272111	274930	.	-	.	AT1G01740	protein_coding
1	Araport11	gene	275188	276310	.	+	.	AT1G01750	protein_coding
1	Araport11	gene	276266	278599	.	-	.	AT1G01760	protein_coding
1	Araport11	gene	278600	282891	.	+	.	AT1G01770	protein_coding
1	Araport11	gene	282761	284245	.	+	.	AT1G01780	protein_coding
1	Araport11	gene	284350	291203	.	+	.	AT1G01790	protein_coding
1	Araport11	gene	293246	295086	.	+	.	AT1G01800	protein_coding
1	Araport11	gene	295207	295859	.	+	.	AT1G01810	protein_coding
1	Araport11	gene	296001	298334	.	-	.	AT1G01820	protein_coding
1	Araport11	gene	298451	302310	.	-	.	AT1G01830	protein_coding
1	Araport11	gene	303537	304358	.	+	.	AT1G01840	protein_coding
1	Araport11	gene	304133	306310	.	-	.	AT1G01860	protein_coding
1	Araport11	gene	306384	306456	73	+	.	AT1G01870	pre_trna
1	Araport11	gene	306467	309541	.	-	.	AT1G01880	protein_coding
1	Araport11	gene	309275	309347	73	-	.	AT1G01890	pre_trna
1	Araport11	gene	310169	313130	.	+	.	AT1G01900	protein_coding
1	Araport11	gene	313101	316090	.	-	.	AT1G01910	protein_coding
1	Araport11	gene	315983	319667	.	+	.	AT1G01920	protein_coding
1	Araport11	gene	319769	322895	.	-	.	AT1G01930	protein_coding
1	Araport11	gene	322886	324917	.	+	.	AT1G01940	protein_coding
1	Araport11	gene	325316	330619	.	+	.	AT1G01950	protein_coding
1	Araport11	gene	330588	337912	.	-	.	AT1G01960	protein_coding
1	Araport11	gene	338241	340088	.	+	.	AT1G01970	protein_coding
1	Araport11	gene	340108	342040	.	-	.	AT1G01980	protein_coding
1	Araport11	gene	342918	344400	.	-	.	AT1G01990	protein_coding
1	Araport11	gene	345516	347603	.	+	.	AT1G02000	protein_coding
1	Araport11	gene	347613	352545	.	+	.	AT1G02010	protein_coding
1	Araport11	gene	352612	355124	.	-	.	AT1G02020	protein_coding
1	Araport11	gene	355124	357258	.	-	.	AT1G02030	protein_coding
1	Araport11	gene	357906	359078	.	-	.	AT1G02040	protein_coding
1	Araport11	gene	359117	360746	.	-	.	AT1G02050	protein_coding
1	Araport11	gene	360918	363142	.	-	.	AT1G02060	protein_coding
1	Araport11	gene	365165	367443	.	+	.	AT1G02065	protein_coding
1	Araport11	gene	366945	367166	.	-	.	AT1G02067	protein_coding
1	Araport11	gene	370195	371090	.	-	.	AT1G02070	protein_coding
1	Araport11	gene	373335	386913	.	+	.	AT1G02080	protein_coding
1	Araport11	gene	387277	389808	.	-	.	AT1G02090	protein_coding
1	Araport11	gene	389812	392816	.	+	.	AT1G02100	protein_coding
1	Araport11	gene	392831	395528	.	+	.	AT1G02110	protein_coding
1	Araport11	gene	395689	400001	.	+	.	AT1G02120	protein_coding
1	Araport11	gene	399983	401919	.	-	.	AT1G02130	protein_coding
1	Araport11	gene	402693	402961	.	-	.	AT1G02136	pseudogene
1	Araport11	gene	403100	404456	.	-	.	AT1G02140	protein_coding
1	Araport11	gene	404600	408619	.	+	.	AT1G02145	protein_coding
1	Araport11	gene	408622	410680	.	+	.	AT1G02150	protein_coding
1	Araport11	gene	410744	411632	.	+	.	AT1G02160	protein_coding
1	Araport11	gene	411664	413554	.	+	.	AT1G02170	protein_coding
1	Araport11	gene	413522	414649	.	-	.	AT1G02180	protein_coding
1	Araport11	gene	415074	418027	.	+	.	AT1G02190	protein_coding
1	Araport11	gene	418416	422579	.	+	.	AT1G02205	protein_coding
1	Araport11	gene	427548	427811	.	-	.	AT1G02210	protein_coding
1	Araport11	gene	428650	430720	.	-	.	AT1G02220	protein_coding
1	Araport11	gene	433031	433819	.	-	.	AT1G02228	transposable_element_gene
1	Araport11	gene	434965	436922	.	-	.	AT1G02230	protein_coding
1	Araport11	gene	437860	439559	.	-	.	AT1G02250	protein_coding
1	Araport11	gene	440200	442972	.	-	.	AT1G02260	protein_coding
1	Araport11	gene	443118	446296	.	-	.	AT1G02270	protein_coding
1	Araport11	gene	448423	450426	.	-	.	AT1G02280	protein_coding
1	Araport11	gene	450461	452743	.	-	.	AT1G02290	protein_coding
1	Araport11	gene	453107	455519	.	+	.	AT1G02300	protein_coding
1	Araport11	gene	455688	458164	.	+	.	AT1G02305	protein_coding
1	Araport11	gene	458133	460831	.	-	.	AT1G02310	protein_coding
1	Araport11	gene	461828	461974	.	+	.	AT1G02320	protein_coding
1	Araport11	gene	461946	463618	.	-	.	AT1G02330	protein_coding
1	Araport11	gene	463754	464981	.	-	.	AT1G02335	protein_coding
1	Araport11	gene	465616	467880	.	-	.	AT1G02340	protein_coding
1	Araport11	gene	469818	470693	.	+	.	AT1G02350	protein_coding
1	Araport11	gene	471883	473336	.	-	.	AT1G02360	protein_coding
1	Araport11	gene	474373	476612	.	+	.	AT1G02370	protein_coding
1	Araport11	gene	476945	479112	.	+	.	AT1G02380	protein_coding
1	Araport11	gene	480650	483373	.	+	.	AT1G02390	protein_coding
1	Araport11	gene	486800	489651	.	+	.	AT1G02400	protein_coding
1	Araport11	gene	489874	490627	.	-	.	AT1G02405	protein_coding
1	Araport11	gene	490860	492979	.	+	.	AT1G02410	protein_coding
1	Araport11	gene	493639	495158	.	+	.	AT1G02420	protein_coding
1	Araport11	gene	495050	496332	.	-	.	AT1G02430	protein_coding
1	Araport11	gene	496372	497555	.	-	.	AT1G02440	protein_coding
1	Araport11	gene	497917	498539	.	-	.	AT1G02450	protein_coding
1	Araport11	gene	504463	507268	.	-	.	AT1G02460	protein_coding
1	Araport11	gene	511765	513721	.	-	.	AT1G02470	protein_coding
1	Araport11	gene	513699	515422	.	-	.	AT1G02475	protein_coding
1	Araport11	gene	515494	515566	73	+	.	AT1G02480	pre_trna
1	Araport11	gene	516569	516866	.	+	.	AT1G02490	protein_coding
1	Araport11	gene	518091	520495	.	+	.	AT1G02500	protein_coding
1	Araport11	gene	520498	521668	.	-	.	AT1G02510	protein_coding
1	Araport11	gene	523536	529069	.	+	.	AT1G02520	protein_coding
1	Araport11	gene	529679	534677	.	+	.	AT1G02530	protein_coding
1	Araport11	gene	534827	535699	.	-	.	AT1G02540	protein_coding
1	Araport11	gene	536483	537211	.	+	.	AT1G02550	protein_coding
1	Araport11	gene	537740	540127	.	+	.	AT1G02560	protein_coding
1	Araport11	gene	541236	542245	.	+	.	AT1G02570	protein_coding
1	Araport11	gene	543011	544057	.	+	.	AT1G02575	protein_coding
1	Araport11	gene	544733	549202	.	+	.	AT1G02580	protein_coding
1	Araport11	gene	552138	552761	.	-	.	AT1G02590	protein_coding
1	Araport11	gene	552640	552711	72	+	.	AT1G02600	pre_trna
1	Araport11	gene	553019	556152	.	-	.	AT1G02610	protein_coding
1	Araport11	gene	557092	558774	.	+	.	AT1G02620	protein_coding
1	Araport11	gene	560610	562598	.	-	.	AT1G02630	protein_coding
1	Araport11	gene	564018	567771	.	+	.	AT1G02640	protein_coding
1	Araport11	gene	568558	570554	.	+	.	AT1G02650	protein_coding
1	Araport11	gene	571826	575085	.	-	.	AT1G02660	protein_coding
1	Araport11	gene	575922	580532	.	+	.	AT1G02670	protein_coding
1	Araport11	gene	580625	582310	.	+	.	AT1G02680	protein_coding
1	Araport11	gene	582364	582985	.	+	.	AT1G02681	pseudogene
1	Araport11	gene	584134	587327	.	+	.	AT1G02690	protein_coding
1	Araport11	gene	588003	589480	.	+	.	AT1G02700	protein_coding
1	Araport11	gene	589584	590406	.	+	.	AT1G02705	protein_coding
1	Araport11	gene	589706	589996	.	-	.	AT1G02710	protein_coding
1	Araport11	gene	591682	594264	.	+	.	AT1G02720	protein_coding
1	Araport11	gene	594502	598657	.	-	.	AT1G02730	protein_coding
1	Araport11	gene	599330	602199	.	-	.	AT1G02740	protein_coding
1	Araport11	gene	602489	604387	.	+	.	AT1G02750	protein_coding
1	Araport11	gene	604402	604474	73	+	.	AT1G02760	pre_trna
1	Araport11	gene	604873	606708	.	-	.	AT1G02770	protein_coding
1	Araport11	gene	607799	609534	.	-	.	AT1G02780	protein_coding
1	Araport11	gene	610363	612324	.	-	.	AT1G02790	protein_coding
1	Araport11	gene	613197	616231	.	-	.	AT1G02800	protein_coding
1	Araport11	gene	618061	620502	.	+	.	AT1G02810	protein_coding
1	Araport11	gene	620678	621329	.	+	.	AT1G02813	protein_coding
1	Araport11	gene	621453	623054	.	+	.	AT1G02816	protein_coding
1	Araport11	gene	623656	624567	.	-	.	AT1G02820	protein_coding
1	Araport11	gene	625084	625608	.	-	.	AT1G02830	protein_coding
1	Araport11	gene	626639	629993	.	+	.	AT1G02840	protein_coding
1	Araport11	gene	630374	633420	.	+	.	AT1G02850	protein_coding
1	Araport11	gene	635144	637262	.	+	.	AT1G02860	protein_coding
1	Araport11	gene	637214	638681	.	-	.	AT1G02870	protein_coding
1	Araport11	gene	642505	644903	.	-	.	AT1G02880	protein_coding
1	Araport11	gene	645084	652001	.	-	.	AT1G02890	protein_coding
1	Araport11	gene	653604	654457	.	-	.	AT1G02900	protein_coding
1	Araport11	gene	655568	658216	.	-	.	AT1G02910	protein_coding
1	Araport11	gene	658578	659980	.	-	.	AT1G02920	protein_coding
1	Araport11	gene	661088	662475	.	-	.	AT1G02930	protein_coding
1	Araport11	gene	662963	664290	.	-	.	AT1G02940	protein_coding
1	Araport11	gene	665119	666471	.	-	.	AT1G02950	protein_coding
1	Araport11	gene	665354	666367	.	+	.	AT1G02952	antisense_long_noncoding_rna
1	Araport11	gene	666807	669919	.	-	.	AT1G02960	protein_coding
1	Araport11	gene	671661	672814	.	-	.	AT1G02965	protein_coding
1	Araport11	gene	673306	676419	.	+	.	AT1G02970	protein_coding
1	Araport11	gene	677360	681378	.	+	.	AT1G02980	protein_coding
1	Araport11	gene	681331	687385	.	-	.	AT1G02990	protein_coding
1	Araport11	gene	687795	692660	.	-	.	AT1G03000	protein_coding
1	Araport11	gene	693190	696504	.	+	.	AT1G03010	protein_coding
1	Araport11	gene	697919	698591	.	-	.	AT1G03020	protein_coding
1	Araport11	gene	701365	703929	.	+	.	AT1G03030	protein_coding
1	Araport11	gene	703847	706689	.	-	.	AT1G03040	protein_coding
1	Araport11	gene	707485	710041	.	+	.	AT1G03050	protein_coding
1	Araport11	gene	710018	711857	.	-	.	AT1G03055	protein_coding
1	Araport11	gene	712440	727553	.	-	.	AT1G03060	protein_coding
1	Araport11	gene	729830	731565	.	+	.	AT1G03070	protein_coding
1	Araport11	gene	731554	738306	.	-	.	AT1G03080	protein_coding
1	Araport11	gene	739544	744184	.	+	.	AT1G03090	protein_coding
1	Araport11	gene	743885	746479	.	-	.	AT1G03100	protein_coding
1	Araport11	gene	747197	748057	.	+	.	AT1G03103	protein_coding
1	Araport11	gene	748101	749034	.	-	.	AT1G03106	protein_coding
1	Araport11	gene	749246	751976	.	+	.	AT1G03110	protein_coding
1	Araport11	gene	752191	753140	.	+	.	AT1G03120	protein_coding
1	Araport11	gene	753307	754262	.	-	.	AT1G03130	protein_coding
1	Araport11	gene	754261	756303	.	-	.	AT1G03140	protein_coding
1	Araport11	gene	756414	758678	.	+	.	AT1G03150	protein_coding
1	Araport11	gene	761261	766194	.	+	.	AT1G03160	protein_coding
1	Araport11	gene	766336	767324	.	+	.	AT1G03165	protein_coding
1	Araport11	gene	768376	770684	.	+	.	AT1G03170	protein_coding
1	Araport11	gene	773358	775362	.	+	.	AT1G03180	protein_coding
1	Araport11	gene	775527	780062	.	+	.	AT1G03190	protein_coding
1	Araport11	gene	780519	782946	.	+	.	AT1G03200	protein_coding
1	Araport11	gene	782904	784346	.	+	.	AT1G03210	protein_coding
1	Araport11	gene	786832	788722	.	+	.	AT1G03220	protein_coding
1	Araport11	gene	789820	791689	.	+	.	AT1G03230	protein_coding
1	Araport11	gene	792222	793060	.	-	.	AT1G03240	protein_coding
1	Araport11	gene	793315	795403	.	-	.	AT1G03250	protein_coding
1	Araport11	gene	795449	798491	.	-	.	AT1G03260	protein_coding
1	Araport11	gene	799115	802625	.	+	.	AT1G03270	protein_coding
1	Araport11	gene	802970	807066	.	+	.	AT1G03280	protein_coding
1	Araport11	gene	807361	813216	.	+	.	AT1G03290	protein_coding
1	Araport11	gene	811033	813086	.	-	.	AT1G03300	protein_coding
1	Araport11	gene	813413	816812	.	+	.	AT1G03310	protein_coding
1	Araport11	gene	816989	817767	.	+	.	AT1G03320	protein_coding
1	Araport11	gene	817053	817178	.	-	.	AT1G03325	protein_coding
1	Araport11	gene	817934	819563	.	-	.	AT1G03330	protein_coding
1	Araport11	gene	819612	821476	.	+	.	AT1G03340	protein_coding
1	Araport11	gene	822582	824410	.	-	.	AT1G03350	protein_coding
1	Araport11	gene	824517	826399	.	+	.	AT1G03360	protein_coding
1	Araport11	gene	826523	830393	.	+	.	AT1G03365	protein_coding
1	Araport11	gene	830550	835411	.	+	.	AT1G03370	protein_coding
1	Araport11	gene	835767	841373	.	+	.	AT1G03380	protein_coding
1	Araport11	gene	841033	842418	.	-	.	AT1G03390	protein_coding
1	Araport11	gene	841677	842158	.	+	.	AT1G03395	protein_coding
1	Araport11	gene	842659	844251	.	-	.	AT1G03400	protein_coding
1	Araport11	gene	844436	847683	.	-	.	AT1G03410	protein_coding
1	Araport11	gene	846664	847739	.	+	.	AT1G03420	transposable_element_gene
1	Araport11	gene	847793	849621	.	+	.	AT1G03430	protein_coding
1	Araport11	gene	852151	854297	.	+	.	AT1G03440	protein_coding
1	Araport11	gene	854410	859701	.	-	.	AT1G03445	protein_coding
1	Araport11	gene	860761	864372	.	-	.	AT1G03457	protein_coding
1	Araport11	gene	865895	867733	.	-	.	AT1G03470	protein_coding
1	Araport11	gene	868853	871308	.	-	.	AT1G03475	protein_coding
1	Araport11	gene	871874	872906	.	+	.	AT1G03490	protein_coding
1	Araport11	gene	873166	874476	.	+	.	AT1G03495	protein_coding
1	Araport11	gene	875358	875471	0	-	.	AT1G03502	small_nucleolar_rna
1	Araport11	gene	875518	875604	11	-	.	AT1G03506	small_nucleolar_rna
1	Araport11	gene	876087	877556	.	-	.	AT1G03510	protein_coding
1	Araport11	gene	877648	877719	72	+	.	AT1G03515	pre_trna
1	Araport11	gene	877861	880259	.	-	.	AT1G03520	protein_coding
1	Araport11	gene	880384	883599	.	-	.	AT1G03530	protein_coding
1	Araport11	gene	883683	885611	.	+	.	AT1G03540	protein_coding
1	Araport11	gene	885941	887972	.	+	.	AT1G03545	antisense_long_noncoding_rna
1	Araport11	gene	885623	887956	.	-	.	AT1G03550	protein_coding
1	Araport11	gene	890155	892492	.	-	.	AT1G03560	protein_coding
1	Araport11	gene	892514	892585	72	+	.	AT1G03570	pre_trna
1	Araport11	gene	892885	894194	.	+	.	AT1G03580	pseudogene
1	Araport11	gene	894238	897718	.	-	.	AT1G03590	protein_coding
1	Araport11	gene	898480	899794	.	+	.	AT1G03600	protein_coding
1	Araport11	gene	900732	903070	.	+	.	AT1G03610	protein_coding
1	Araport11	gene	904032	907643	.	-	.	AT1G03620	protein_coding
1	Araport11	gene	907523	909650	.	+	.	AT1G03630	protein_coding
1	Araport11	gene	909811	909883	73	-	.	AT1G03640	pre_trna
1	Araport11	gene	910023	911292	.	-	.	AT1G03650	protein_coding
1	Araport11	gene	911310	913808	.	-	.	AT1G03660	protein_coding
1	Araport11	gene	914222	916222	.	-	.	AT1G03670	protein_coding
1	Araport11	gene	916772	918064	.	-	.	AT1G03680	protein_coding
1	Araport11	gene	918285	920592	.	+	.	AT1G03687	protein_coding
1	Araport11	gene	920950	922098	.	+	.	AT1G03700	protein_coding
1	Araport11	gene	923390	924730	.	+	.	AT1G03710	protein_coding
1	Araport11	gene	924896	926373	.	-	.	AT1G03720	protein_coding
1	Araport11	gene	930715	931985	.	-	.	AT1G03730	protein_coding
1	Araport11	gene	933426	937152	.	+	.	AT1G03740	protein_coding
1	Araport11	gene	937207	937287	932	-	.	AT1G03743	small_nucleolar_rna
1	Araport11	gene	937401	937485	400	-	.	AT1G03746	small_nucleolar_rna
1	Araport11	gene	937826	941162	.	+	.	AT1G03750	protein_coding
1	Araport11	gene	941062	943377	.	-	.	AT1G03760	protein_coding
1	Araport11	gene	944572	947682	.	+	.	AT1G03770	protein_coding
1	Araport11	gene	947520	951850	.	-	.	AT1G03780	protein_coding
1	Araport11	gene	954290	956144	.	+	.	AT1G03790	protein_coding
1	Araport11	gene	957104	958383	.	-	.	AT1G03800	protein_coding
1	Araport11	gene	958759	959609	.	+	.	AT1G03810	protein_coding
1	Araport11	gene	959790	960916	.	-	.	AT1G03820	protein_coding
1	Araport11	gene	961684	966790	.	-	.	AT1G03830	protein_coding
1	Araport11	gene	967470	970334	.	-	.	AT1G03840	protein_coding
1	Araport11	gene	975871	977911	.	-	.	AT1G03850	protein_coding
1	Araport11	gene	979307	982002	.	-	.	AT1G03860	protein_coding
1	Araport11	gene	982381	983544	.	-	.	AT1G03870	protein_coding
1	Araport11	gene	985751	988146	.	+	.	AT1G03880	protein_coding
1	Araport11	gene	989198	991020	.	+	.	AT1G03890	protein_coding
1	Araport11	gene	991106	993126	.	+	.	AT1G03900	protein_coding
1	Araport11	gene	993400	995989	.	+	.	AT1G03905	protein_coding
1	Araport11	gene	996076	1000629	.	+	.	AT1G03910	protein_coding
1	Araport11	gene	1001116	1004410	.	+	.	AT1G03920	protein_coding
1	Araport11	gene	1004688	1008370	.	+	.	AT1G03930	protein_coding
1	Araport11	gene	1008810	1008896	15	+	.	AT1G03935	small_nucleolar_rna
1	Araport11	gene	1009228	1011145	.	-	.	AT1G03940	protein_coding
1	Araport11	gene	1011151	1013365	.	-	.	AT1G03950	protein_coding
1	Araport11	gene	1013643	1017957	.	+	.	AT1G03960	protein_coding
1	Araport11	gene	1018100	1019247	.	+	.	AT1G03970	protein_coding
1	Araport11	gene	1019311	1022108	.	-	.	AT1G03980	protein_coding
1	Araport11	gene	1022251	1023719	.	-	.	AT1G03982	protein_coding
1	Araport11	gene	11101	11372	.	+	.	AT1G03987	long_noncoding_rna
1	Araport11	gene	1024740	1027616	.	+	.	AT1G03990	protein_coding
1	Araport11	gene	23312	24099	.	-	.	AT1G03993	antisense_long_noncoding_rna
1	Araport11	gene	32727	33009	.	+	.	AT1G03997	antisense_long_noncoding_rna
1	Araport11	gene	1027853	1029119	.	-	.	AT1G04000	protein_coding
1	Araport11	gene	43087	43295	.	-	.	AT1G04003	long_noncoding_rna
1	Araport11	gene	72646	73108	.	-	.	AT1G04007	antisense_long_noncoding_rna
1	Araport11	gene	1030957	1036264	.	-	.	AT1G04010	protein_coding
1	Araport11	gene	74435	74683	.	+	.	AT1G04013	antisense_long_noncoding_rna
1	Araport11	gene	90169	90401	.	-	.	AT1G04017	long_noncoding_rna
1	Araport11	gene	1036493	1040262	.	+	.	AT1G04020	protein_coding
1	Araport11	gene	91356	91685	.	-	.	AT1G04023	long_noncoding_rna
1	Araport11	gene	1040375	1042892	.	+	.	AT1G04030	protein_coding
1	Araport11	gene	255022	255384	.	+	.	AT1G04033	long_noncoding_rna
1	Araport11	gene	258717	258963	.	-	.	AT1G04037	long_noncoding_rna
1	Araport11	gene	1042362	1043887	.	-	.	AT1G04040	protein_coding
1	Araport11	gene	267993	268336	.	-	.	AT1G04043	antisense_long_noncoding_rna
1	Araport11	gene	270067	270517	.	+	.	AT1G04047	antisense_long_noncoding_rna
1	Araport11	gene	1045598	1049864	.	-	.	AT1G04050	protein_coding
1	Araport11	gene	275473	276319	.	-	.	AT1G04053	antisense_long_noncoding_rna
1	Araport11	gene	276543	276729	.	+	.	AT1G04057	antisense_rna
1	Araport11	gene	291594	292061	.	-	.	AT1G04063	long_noncoding_rna
1	Araport11	gene	303463	303977	.	-	.	AT1G04067	antisense_long_noncoding_rna
1	Araport11	gene	1050505	1051194	.	-	.	AT1G04070	protein_coding
1	Araport11	gene	304481	304713	.	+	.	AT1G04073	antisense_long_noncoding_rna
1	Araport11	gene	311828	312884	.	-	.	AT1G04077	antisense_long_noncoding_rna
1	Araport11	gene	1051312	1056827	.	+	.	AT1G04080	protein_coding
1	Araport11	gene	314189	314463	.	+	.	AT1G04083	antisense_long_noncoding_rna
1	Araport11	gene	402086	402294	.	+	.	AT1G04087	long_noncoding_rna
1	Araport11	gene	1057041	1059454	.	+	.	AT1G04090	protein_coding
1	Araport11	gene	424666	425164	.	+	.	AT1G04093	long_noncoding_rna
1	Araport11	gene	455880	456198	.	-	.	AT1G04097	antisense_long_noncoding_rna
1	Araport11	gene	1059470	1061209	.	+	.	AT1G04100	protein_coding
1	Araport11	gene	459122	461921	.	+	.	AT1G04103	antisense_long_noncoding_rna
1	Araport11	gene	1059730	1060348	.	-	.	AT1G04105	protein_coding
1	Araport11	gene	1061297	1063809	.	-	.	AT1G04110	protein_coding
1	Araport11	gene	494008	495548	.	-	.	AT1G04117	antisense_long_noncoding_rna
1	Araport11	gene	1064264	1071080	.	-	.	AT1G04120	protein_coding
1	Araport11	gene	495887	496190	.	+	.	AT1G04123	antisense_long_noncoding_rna
1	Araport11	gene	551289	551529	.	-	.	AT1G04127	long_noncoding_rna
1	Araport11	gene	1073274	1075568	.	+	.	AT1G04130	protein_coding
1	Araport11	gene	558071	558492	.	-	.	AT1G04133	long_noncoding_rna
1	Araport11	gene	559735	560251	.	+	.	AT1G04137	long_noncoding_rna
1	Araport11	gene	1075543	1080630	.	-	.	AT1G04140	protein_coding
1	Araport11	gene	583471	583860	.	-	.	AT1G04143	long_noncoding_rna
1	Araport11	gene	636337	636614	.	-	.	AT1G04147	antisense_long_noncoding_rna
1	Araport11	gene	1081024	1084431	.	-	.	AT1G04150	protein_coding
1	Araport11	gene	637772	638231	.	+	.	AT1G04153	antisense_long_noncoding_rna
1	Araport11	gene	742298	742522	.	-	.	AT1G04157	antisense_long_noncoding_rna
1	Araport11	gene	1086170	1096510	.	+	.	AT1G04160	protein_coding
1	Araport11	gene	744724	746147	.	+	.	AT1G04163	antisense_long_noncoding_rna
1	Araport11	gene	760884	761099	.	-	.	AT1G04167	long_noncoding_rna
1	Araport11	gene	1096882	1099901	.	+	.	AT1G04170	protein_coding
