gene_id	At_name	Bn_name
GSBRNA2T00000233001	AT2G20810	BnaA05g27020D
GSBRNA2T00000234001	AT1G47470	BnaA05g27030D
GSBRNA2T00000235001	AT5G22640	BnaA05g27040D
GSBRNA2T00000236001	AT1G45190	BnaA05g27050D
GSBRNA2T00000237001	AT1G45190	BnaA05g27060D
GSBRNA2T00000238001	AT1G45190	BnaA05g27070D
GSBRNA2T00000240001	AT3G11980	BnaA05g27080D
GSBRNA2T00000241001	AT3G13570	BnaA05g27090D
GSBRNA2T00000242001	AT3G11964	BnaA05g27100D
GSBRNA2T00000243001	AT3G11430	BnaA05g27110D
GSBRNA2T00000244001	AT3G11430	BnaA05g27120D
GSBRNA2T00000245001	AT3G11960	BnaA05g27130D
GSBRNA2T00000246001	AT3G11950	BnaA05g27140D
GSBRNA2T00000247001	AT3G11945	BnaA05g27150D
GSBRNA2T00000248001	AT2G37270	BnaA05g27160D
GSBRNA2T00000249001	AT3G11930	BnaA05g27170D
GSBRNA2T00000250001	AT3G11945	BnaA05g27180D
GSBRNA2T00000251001	AT2G37270	BnaA05g27190D
GSBRNA2T00000252001	AT3G11930	BnaA05g27200D
GSBRNA2T00000253001	AT3G11910	BnaA05g27210D
GSBRNA2T00000257001	AT3G11900	BnaA05g27230D
GSBRNA2T00000258001	AT3G11890	BnaA05g27240D
GSBRNA2T00000259001	AT3G11850	BnaA05g27250D
GSBRNA2T00000261001	AT3G11840	BnaA05g27260D
GSBRNA2T00000262001	AT3G11830	BnaA05g27270D
GSBRNA2T00000263001	AT3G11820	BnaA05g27280D
GSBRNA2T00000265001	AT2G40210	BnaA05g27290D
GSBRNA2T00000267001	AT3G11800	BnaA05g27300D
GSBRNA2T00000268001	AT3G11780	BnaA05g27310D
GSBRNA2T00000269001	AT3G11770	BnaA05g27320D
GSBRNA2T00000270001	AT3G11750	BnaA05g27330D
GSBRNA2T00000271001	AT3G11750	BnaA05g27340D
GSBRNA2T00000272001	AT3G11720	BnaA05g27350D
GSBRNA2T00000273001	AT3G23727	BnaA05g27360D
GSBRNA2T00000274001	AT3G11710	BnaA05g27370D
GSBRNA2T00000275001	AT3G11700	BnaA05g27380D
GSBRNA2T00000276001	AT3G11690	BnaA05g27390D
GSBRNA2T00000278001	AT3G11680	BnaA05g27400D
GSBRNA2T00000279001	AT3G11670	BnaA05g27410D
GSBRNA2T00000280001	AT3G11660	BnaA05g27420D
GSBRNA2T00000281001	AT3G11650	BnaA05g27430D
GSBRNA2T00000282001	AT3G11630	BnaA05g27440D
GSBRNA2T00000283001	AT3G11620	BnaA05g27450D
GSBRNA2T00000284001	AT3G11600	BnaA05g27460D
GSBRNA2T00000285001	AT3G11590	BnaA05g27470D
GSBRNA2T00000286001	AT3G11580	BnaA05g27480D
GSBRNA2T00000288001	AT3G11560	BnaA05g27490D
GSBRNA2T00000289001	AT3G11550	BnaA05g27500D
GSBRNA2T00000290001	AT3G11540	BnaA05g27510D
GSBRNA2T00000291001	AT3G11530	BnaA05g27520D
GSBRNA2T00000292001	AT3G11510	BnaA05g27530D
GSBRNA2T00000293001	AT3G11500	BnaA05g27540D
GSBRNA2T00000295001	AT3G11490	BnaA05g27550D
GSBRNA2T00000296001	AT3G11480	BnaA05g27560D
GSBRNA2T00000297001	AT3G11490	BnaA05g27570D
GSBRNA2T00000299001	AT3G11480	BnaA05g27580D
GSBRNA2T00000300001	AT3G11470	BnaA05g27590D
GSBRNA2T00000301001	AT3G11460	BnaA05g27600D
GSBRNA2T00000302001	AT3G11450	BnaA05g27610D
GSBRNA2T00000303001	AT3G11440	BnaA05g27620D
GSBRNA2T00000304001	AT3G06710	BnaA05g27630D
GSBRNA2T00000306001	AT3G11430	BnaA05g27640D
GSBRNA2T00000307001	AT3G11420	BnaA05g27650D
GSBRNA2T00000310001	AT3G11410	BnaA05g27660D
GSBRNA2T00000311001	AT3G11400	BnaA05g27670D
GSBRNA2T00000312001	AT3G11397	BnaA05g27680D
GSBRNA2T00000313001	AT5G05970	BnaA05g27690D
GSBRNA2T00000314001	AT3G11340	BnaA05g27700D
GSBRNA2T00000315001	AT3G11330	BnaA05g27710D
GSBRNA2T00000316001	AT3G11320	BnaA05g27720D
GSBRNA2T00000317001	AT2G38080	BnaA05g27730D
GSBRNA2T00000318001	AT3G11280	BnaA05g27740D
GSBRNA2T00000320001	AT3G11260	BnaA05g27750D
GSBRNA2T00000321001	AT3G11240	BnaA05g27760D
GSBRNA2T00000322001	AT3G11230	BnaA05g27770D
GSBRNA2T00000323001	AT3G11220	BnaA05g27780D
GSBRNA2T00000324001	AT3G11210	BnaA05g27790D
GSBRNA2T00000325001	AT3G11200	BnaA05g27800D
GSBRNA2T00000326001	AT3G11180	BnaA05g27810D
GSBRNA2T00000328001	AT3G11170	BnaA05g27820D
GSBRNA2T00000330001	AT3G11170	BnaA05g27840D
GSBRNA2T00000331001	AT3G11130	BnaA05g27850D
GSBRNA2T00000332001	AT3G11110	BnaA05g27860D
GSBRNA2T00000334001	AT3G11090	BnaA05g27870D
GSBRNA2T00000335001	AT3G11070	BnaA05g27880D
GSBRNA2T00000336001	AT4G31615	BnaA05g27890D
GSBRNA2T00000337001	AT4G31680	BnaA05g27900D
GSBRNA2T00000338001	AT3G11050	BnaA05g27910D
GSBRNA2T00000339001	AT3G11030	BnaA05g27920D
GSBRNA2T00000340001	AT3G11020	BnaA05g27930D
GSBRNA2T00000341001	AT3G11000	BnaA05g27940D
GSBRNA2T00000342001	AT3G10985	BnaA05g27950D
GSBRNA2T00000343001	AT5G22750	BnaA05g27960D
GSBRNA2T00000345001	AT3G10970	BnaA05g27970D
GSBRNA2T00000348001	AT3G10940	BnaA05g27980D
GSBRNA2T00000349001	AT5G05300	BnaA05g27990D
GSBRNA2T00000350001	AT3G10920	BnaA05g28000D
GSBRNA2T00000351001	AT3G10915	BnaA05g28010D
GSBRNA2T00000352001	AT3G10920	BnaA05g28020D
GSBRNA2T00000353001	AT3G10915	BnaA05g28030D
GSBRNA2T00000358001	AT3G10870	BnaA05g28050D
GSBRNA2T00000359001	AT5G05170	BnaA05g28060D
GSBRNA2T00000360001	AT3G10860	BnaA05g28070D
GSBRNA2T00000361001	AT3G10850	BnaA05g28080D
GSBRNA2T00000362001	AT3G10840	BnaA05g28090D
GSBRNA2T00000363001	AT3G10820	BnaA05g28100D
GSBRNA2T00000366001	AT3G10815	BnaA05g28120D
GSBRNA2T00000367001	AT3G10780	BnaA05g28130D
GSBRNA2T00000368001	AT3G10770	BnaA05g28140D
GSBRNA2T00000369001	AT3G10760	BnaA05g28150D
GSBRNA2T00000370001	AT1G05080	BnaA05g28160D
GSBRNA2T00000371001	AT3G10750	BnaA05g28170D
GSBRNA2T00000372001	AT3G10730	BnaA05g28180D
GSBRNA2T00000373001	AT3G10670	BnaA05g28190D
GSBRNA2T00000374001	AT3G10660	BnaA05g28200D
GSBRNA2T00000375001	AT5G48330	BnaA05g28210D
GSBRNA2T00000376001	AT3G10620	BnaA05g28220D
GSBRNA2T00000377001	AT4G09450	BnaA05g28230D
GSBRNA2T00000378001	AT5G22950	BnaA05g28240D
GSBRNA2T00000379001	AT1G66240	BnaA05g28250D
GSBRNA2T00000380001	AT3G10572	BnaA05g28260D
GSBRNA2T00000381001	AT3G10570	BnaA05g28270D
GSBRNA2T00000382001	AT1G32430	BnaA05g28280D
GSBRNA2T00000383001	AT1G47390	BnaA05g28290D
GSBRNA2T00000385001	AT3G10540	BnaA05g28300D
GSBRNA2T00000386001	AT3G10530	BnaA05g28310D
GSBRNA2T00000388001	AT3G10525	BnaA05g28330D
GSBRNA2T00000390001	AT3G10520	BnaA05g28340D
GSBRNA2T00000391001	AT5G04460	BnaA05g28350D
GSBRNA2T00000392001	AT5G04430	BnaA05g28360D
GSBRNA2T00000394001	AT3G10490	BnaA05g28370D
GSBRNA2T00000395001	AT3G10470	BnaA05g28380D
GSBRNA2T00000396001	AT3G10450	BnaA05g28390D
GSBRNA2T00000398001	AT3G10420	BnaA05g28400D
GSBRNA2T00000399001	AT3G10410	BnaA05g28410D
GSBRNA2T00000400001	AT3G10400	BnaA05g28420D
GSBRNA2T00000402001	AT3G10380	BnaA05g28440D
GSBRNA2T00000403001	AT3G10370	BnaA05g28450D
GSBRNA2T00000404001	AT3G10350	BnaA05g28460D
GSBRNA2T00000405001	AT3G10340	BnaA05g28470D
GSBRNA2T00000406001	AT3G10320	BnaA05g28480D
GSBRNA2T00000407001	AT3G10310	BnaA05g28490D
GSBRNA2T00000409001	AT3G10290	BnaA05g28500D
GSBRNA2T00000410001	AT3G10270	BnaA05g28510D
GSBRNA2T00000411001	AT3G10260	BnaA05g28520D
GSBRNA2T00000412001	AT3G10250	BnaA05g28530D
GSBRNA2T00000413001	AT3G10230	BnaA05g28540D
GSBRNA2T00000414001	AT3G10220	BnaA05g28550D
GSBRNA2T00000415001	AT3G10210	BnaA05g28560D
GSBRNA2T00000416001	AT5G04060	BnaA05g28570D
GSBRNA2T00000423001	AT4G37130	BnaC04g19320D
GSBRNA2T00000424001	AT1G62250	BnaC04g19330D
GSBRNA2T00000428001	AT1G62262	BnaC04g19340D
GSBRNA2T00000430001	AT3G57800	BnaC04g19350D
GSBRNA2T00000439001	AT1G62280	BnaC04g19370D
GSBRNA2T00000446001	AT3G57440	BnaC04g19380D
GSBRNA2T00000447001	AT5G58450	BnaC04g19390D
GSBRNA2T00000450001	AT1G62290	BnaC04g19410D
GSBRNA2T00000453001	AT1G62300	BnaC04g19430D
GSBRNA2T00000457001	AT1G62305	BnaC04g19470D
GSBRNA2T00000459001	AT1G62310	BnaC04g19480D
GSBRNA2T00000460001	AT1G62320	BnaC04g19490D
GSBRNA2T00000461001	AT1G11960	BnaC04g19500D
GSBRNA2T00000466001	AT5G51710	BnaC04g19510D
GSBRNA2T00000467001	AT1G08760	BnaC04g19520D
GSBRNA2T00000468001	AT1G21060	BnaC04g19530D
GSBRNA2T00000470001	AT1G62340	BnaC04g19550D
GSBRNA2T00000472001	AT1G02305	BnaC04g19570D
GSBRNA2T00000476001	AT1G62370	BnaC04g19590D
GSBRNA2T00000480001	AT2G39940	BnaC04g19600D
GSBRNA2T00000484001	AT1G62380	BnaC04g19630D
GSBRNA2T00000485001	AT5G41800	BnaC04g19640D
GSBRNA2T00000492001	AT5G33406	BnaC04g19650D
GSBRNA2T00000494001	AT1G43260	BnaC04g19660D
GSBRNA2T00000498001	AT2G15780	BnaC04g19690D
GSBRNA2T00000501001	AT1G62430	BnaC04g19700D
GSBRNA2T00000508001	AT3G57860	BnaC04g19720D
GSBRNA2T00000509001	AT3G57860	BnaC04g19730D
GSBRNA2T00000512001	AT1G65342	BnaC04g19760D
GSBRNA2T00000515001	AT5G06920	BnaC04g19790D
GSBRNA2T00000516001	AT5G06920	BnaC04g19800D
GSBRNA2T00000517001	AT5G06920	BnaC04g19810D
GSBRNA2T00000518001	AT1G62450	BnaC04g19820D
GSBRNA2T00000529001	AT1G62110	BnaC04g19840D
GSBRNA2T00000537001	AT2G39130	BnaC04g19870D
GSBRNA2T00000538001	AT2G39130	BnaC04g19880D
GSBRNA2T00000539001	AT1G62510	BnaC04g19890D
GSBRNA2T00000552001	AT3G56950	BnaC03g54990D
GSBRNA2T00000553001	AT3G44680	BnaC03g54980D
GSBRNA2T00000560001	AT3G44200	BnaC03g54960D
GSBRNA2T00000561001	AT3G44220	BnaC03g54950D
GSBRNA2T00000566001	AT3G44260	BnaC03g54940D
GSBRNA2T00000570001	AT3G44280	BnaC03g54930D
GSBRNA2T00000574001	AT3G44300	BnaC03g54910D
GSBRNA2T00000575001	AT4G22910	BnaC03g54900D
GSBRNA2T00000580001	AT3G44350	BnaC03g54890D
GSBRNA2T00000600001	AT3G44370	BnaC03g54840D
GSBRNA2T00000607001	AT2G46790	BnaC03g54820D
GSBRNA2T00000614001	AT3G44460	BnaC03g54810D
GSBRNA2T00000618001	AT5G27260	BnaC03g54800D
GSBRNA2T00000622001	AT3G44530	BnaC03g54780D
GSBRNA2T00000627001	AT3G44550	BnaC03g54750D
GSBRNA2T00000629001	AT3G44600	BnaC03g54740D
GSBRNA2T00000631001	AT3G44610	BnaC03g54720D
GSBRNA2T00000636001	AT3G01330	BnaC03g54690D
GSBRNA2T00000639001	AT3G44620	BnaC03g54660D
GSBRNA2T00000640001	AT2G19110	BnaA06g25070D
GSBRNA2T00000642001	AT5G67450	BnaA06g25060D
GSBRNA2T00000644001	AT5G67470	BnaA06g25040D
GSBRNA2T00000645001	AT5G67480	BnaA06g25030D
GSBRNA2T00000646001	AT5G67490	BnaA06g25020D
GSBRNA2T00000647001	AT5G67500	BnaA06g25010D
GSBRNA2T00000648001	AT5G67520	BnaA06g25000D
GSBRNA2T00000649001	AT5G67530	BnaA06g24990D
GSBRNA2T00000651001	AT5G67540	BnaA06g24980D
GSBRNA2T00000652001	AT5G67560	BnaA06g24970D
GSBRNA2T00000653001	AT5G67570	BnaA06g24960D
GSBRNA2T00000654001	AT5G67580	BnaA06g24950D
GSBRNA2T00000655001	AT5G67590	BnaA06g24940D
GSBRNA2T00000656001	AT5G67600	BnaA06g24930D
GSBRNA2T00000657001	AT5G67610	BnaA06g24920D
GSBRNA2T00000658001	AT5G67620	BnaA06g24910D
GSBRNA2T00000659001	AT5G67630	BnaA06g24900D
GSBRNA2T00000661001	AT5G67640	BnaA06g24880D
GSBRNA2T00000662001	AT5G65925	BnaA06g24870D
GSBRNA2T00000666001	AT5G65910	BnaA06g24850D
GSBRNA2T00000667001	AT5G65900	BnaA06g24840D
GSBRNA2T00000668001	AT5G65890	BnaA06g24830D
GSBRNA2T00000670001	AT5G65870	BnaA06g24820D
GSBRNA2T00000671001	AT1G71350	BnaA06g24810D
GSBRNA2T00000672001	AT5G65860	BnaA06g24800D
GSBRNA2T00000673001	AT5G65820	BnaA06g24790D
GSBRNA2T00000674001	AT5G65810	BnaA06g24780D
GSBRNA2T00000678001	AT5G65790	BnaA06g24760D
GSBRNA2T00000679001	AT5G65790	BnaA06g24750D
GSBRNA2T00000680001	AT5G65780	BnaA06g24740D
GSBRNA2T00000681001	AT1G54290	BnaA06g24730D
GSBRNA2T00000683001	AT5G65760	BnaA06g24710D
GSBRNA2T00000684001	AT5G65750	BnaA06g24700D
GSBRNA2T00000686001	AT5G65740	BnaA06g24690D
GSBRNA2T00000687001	AT5G65730	BnaA06g24680D
GSBRNA2T00000688001	AT5G65720	BnaA06g24670D
GSBRNA2T00000690001	AT5G65700	BnaA06g24650D
GSBRNA2T00000691001	AT5G65685	BnaA06g24640D
GSBRNA2T00000692001	AT5G65685	BnaA06g24630D
GSBRNA2T00000693001	AT5G65687	BnaA06g24620D
GSBRNA2T00000694001	AT5G65690	BnaA06g24610D
GSBRNA2T00000695001	AT5G65690	BnaA06g24600D
GSBRNA2T00000697001	AT5G65683	BnaA06g24590D
GSBRNA2T00000700001	AT1G12660	BnaA06g24580D
GSBRNA2T00000701001	AT5G65670	BnaA06g24570D
GSBRNA2T00000702001	AT5G65660	BnaA06g24560D
GSBRNA2T00000704001	AT5G65640	BnaA06g24550D
GSBRNA2T00000705001	AT5G65630	BnaA06g24540D
GSBRNA2T00000706001	AT5G10550	BnaA06g24530D
GSBRNA2T00000707001	AT5G65620	BnaA06g24520D
GSBRNA2T00000708001	AT5G65613	BnaA06g24510D
GSBRNA2T00000709001	AT5G65600	BnaA06g24500D
GSBRNA2T00000710001	AT5G65590	BnaA06g24490D
GSBRNA2T00000711001	AT5G65590	BnaA06g24480D
GSBRNA2T00000712001	AT5G65570	BnaA06g24470D
GSBRNA2T00000713001	AT5G65570	BnaA06g24460D
GSBRNA2T00000714001	AT5G65560	BnaA06g24450D
GSBRNA2T00000715001	AT5G65560	BnaA06g24440D
GSBRNA2T00000716001	AT5G65560	BnaA06g24430D
GSBRNA2T00000717001	AT5G65540	BnaA06g24420D
GSBRNA2T00000718001	AT5G65530	BnaA06g24410D
GSBRNA2T00000719001	AT5G65510	BnaA06g24400D
GSBRNA2T00000720001	AT5G08540	BnaA06g24390D
GSBRNA2T00000726001	AT1G52700	BnaA06g24370D
GSBRNA2T00000728001	AT5G65490	BnaA06g24360D
GSBRNA2T00000729001	AT5G65480	BnaA06g24350D
GSBRNA2T00000731001	AT5G65470	BnaA06g24340D
GSBRNA2T00000732001	AT5G65460	BnaA06g24330D
GSBRNA2T00000733001	AT5G65450	BnaA06g24320D
GSBRNA2T00000734001	AT5G65440	BnaA06g24310D
GSBRNA2T00000736001	AT5G65430	BnaA06g24300D
GSBRNA2T00000737001	AT5G65420	BnaA06g24290D
GSBRNA2T00000741001	AT5G44050	BnaA06g24280D
GSBRNA2T00000749001	AT5G65380	BnaA06g24270D
GSBRNA2T00000750001	AT5G65380	BnaA06g24260D
GSBRNA2T00000751001	AT5G65380	BnaA06g24250D
GSBRNA2T00000752001	AT5G15070	BnaA06g24240D
GSBRNA2T00000758001	AT5G65300	BnaA06g24230D
GSBRNA2T00000759001	AT5G65290	BnaA06g24220D
GSBRNA2T00000760001	AT5G65280	BnaA06g24210D
GSBRNA2T00000761001	AT4G01710	BnaA06g24200D
GSBRNA2T00000762001	AT5G65260	BnaA06g24190D
GSBRNA2T00000764001	AT5G65250	BnaA06g24180D
GSBRNA2T00000765001	AT5G65240	BnaA06g24170D
GSBRNA2T00000766001	AT5G65230	BnaA06g24160D
GSBRNA2T00000767001	AT5G65220	BnaA06g24150D
GSBRNA2T00000768001	AT5G65210	BnaA06g24140D
GSBRNA2T00000769001	AT5G65205	BnaA06g24130D
GSBRNA2T00000770001	AT5G65170	BnaA06g24120D
GSBRNA2T00000773001	AT5G65160	BnaA06g24110D
GSBRNA2T00000774001	AT5G65160	BnaA06g24100D
GSBRNA2T00000775001	AT5G65140	BnaA06g24090D
GSBRNA2T00000777001	AT5G65130	BnaA06g24080D
GSBRNA2T00000779001	AT5G65130	BnaA06g24070D
GSBRNA2T00000780001	AT5G65130	BnaA06g24060D
GSBRNA2T00000781001	AT5G65120	BnaA06g24050D
GSBRNA2T00000782001	AT5G65110	BnaA06g24040D
GSBRNA2T00000783001	AT5G65100	BnaA06g24030D
GSBRNA2T00000784001	AT5G65090	BnaA06g24020D
GSBRNA2T00000785001	AT5G64980	BnaA06g24010D
GSBRNA2T00000786001	AT5G65050	BnaA06g24000D
GSBRNA2T00000787001	AT5G65060	BnaA06g23990D
GSBRNA2T00000791001	AT5G65040	BnaA06g23970D
GSBRNA2T00000792001	AT5G65020	BnaA06g23960D
GSBRNA2T00000793001	AT5G65010	BnaA06g23950D
GSBRNA2T00000794001	AT5G65000	BnaA06g23940D
GSBRNA2T00000795001	AT4G21240	BnaA06g23930D
GSBRNA2T00000799001	AT5G64970	BnaA06g23900D
GSBRNA2T00000800001	AT5G64960	BnaA06g23890D
GSBRNA2T00000801001	AT1G69770	BnaA06g23880D
GSBRNA2T00000802001	AT5G64940	BnaA06g23870D
GSBRNA2T00000804001	AT5G64930	BnaA06g23850D
GSBRNA2T00000806001	AT5G64905	BnaA06g23840D
GSBRNA2T00000807001	AT5G64900	BnaA06g23830D
GSBRNA2T00000808001	AT5G64880	BnaA06g23820D
GSBRNA2T00000809001	AT5G64870	BnaA06g23810D
GSBRNA2T00000811001	AT5G64850	BnaA06g23800D
GSBRNA2T00000812001	AT5G64830	BnaA06g23790D
GSBRNA2T00000813001	AT5G64820	BnaA06g23780D
GSBRNA2T00000814001	AT5G64816	BnaA06g23770D
GSBRNA2T00000815001	AT5G64813	BnaA06g23760D
GSBRNA2T00000817001	AT5G64810	BnaA06g23750D
GSBRNA2T00000818001	AT5G64800	BnaA06g23740D
GSBRNA2T00000819001	AT5G64780	BnaA06g23730D
GSBRNA2T00000820001	AT5G64770	BnaA06g23720D
GSBRNA2T00000822001	AT5G64750	BnaA06g23710D
GSBRNA2T00000824001	AT5G64740	BnaA06g23700D
